date,pmb,text
1922-03-11,,"schwed."
1922-03-11,,"schwed."
1922-04-18,,"Deutsche"
1922-04-18,,"deutsch"
1922-04-18,,"russ."
1922-04-18,994,"Genua"
1929-11-01,,"Amerik."
1929-11-01,,"amerikanisches"
1929-11-01,,"Pariser"
1914-08-11,92263,"Guschakopf"
1905-01-12,92320,"Kaiser Josefstr."
1905-01-12,1108,"China"
1922-04-30,57860,"Volendam"
1922-04-30,58810,"Haag"
1923-05-07,5907,"Passau"
1914-06-14,574,"Kahlenberg"
1915-07-23,91083,"Küb"
1915-07-23,948,"Payerbach"
1915-07-23,49072,"Prein"
1915-07-23,,"Schweizer"
1907-10-28,50,"Wien"
1907-10-28,14,"Burgtheater"
1907-10-28,45904,"Kischenew"
1904-07-04,574,"Kahlenberg"
1904-07-04,865,"Klosterneuburg"
1882-03-27,182,"Paris"
1898-11-10,63,"Hietzing"
1905-06-27,92240,"Franzensring"
1905-06-27,168,"Berlin"
1905-06-27,20,"Volksth."
1905-06-27,103,"Volksgarten"
1914-01-09,14,"Burgtheater"
1923-05-13,36300,"Kopenhagen"
1923-05-13,1119,"Stockh."
1926-10-29,50,"Wien"
1925-07-05,90705,"Gersthof"
1925-07-05,20,"Volksth."
1925-07-05,,"russ."
1913-05-21,96,"Meissl"
1913-02-28,91409,"Ortler"
1908-11-28,169,"Pötzleinsdorf"
1908-11-28,96,"Meissl"
1902-05-06,168,"Berlin"
1894-07-28,103,"Volksg."
1897-10-04,91217,"M."
1894-09-05,168,"Berlin"
1894-09-05,772,"Marienbad"
1895-08-26,424,"Tölz"
1895-08-26,424,"Tölz"
1895-08-26,423,"Tirol"
1894-09-11,92467,"Pschorrbräu"
1897-10-10,91217,"M."
1910-12-19,14,"Burgtheater"
1912-04-02,30,"Salzburg"
1912-04-02,45258,"München"
1910-12-31,113,"Türkenschanzpark"
1910-12-31,43406,"Amerika"
1910-12-31,34438,"Rußland"
1925-09-14,44248,"Forte dei Marmi"
1925-09-14,1174,"Viareggio"
1925-09-14,263,"Florenz"
1925-09-14,92582,"Viale dei colli"
1925-09-14,91630,"S. Miniato"
1887-11-28,40,"Josefstädterth."
1924-08-23,967,"Luzern"
1894-07-14,332,"Linz"
1894-07-14,91105,"Lambach"
1894-07-14,91105,"Lamb."
1894-07-14,213,"Ischl"
1924-01-07,228,"B.-B."
